frame,value
0,0.1260839
0,0.1871558
0,0.179184
0.000579,0.3759187
0.000579,0.119498
0.001331,0.5345477
0.001331,0.1285977
0.0024,0.5205795
0.0024,0.09489979
0.003441,0.6746939
0.003441,0.08443104
0.004791,0.5091792
0.004791,0.06882335
0.005809,0.3031334
0.005809,0.07377832
0.006415,0.4725274
0.006415,0.06446038
0.00736,0.4424465
0.00736,0.08597406
0.008245,0.2622957
0.008245,0.06533735
0.00877,0.2859527
0.00877,0.06229226
0.009342,0.302901
0.009342,0.06476343
0.009948,0.2817654
0.009948,0.06390066
0.010511,0.3444333
0.010511,0.06472181
0.0112,0.3434034
0.0112,0.06261969
0.011887,0.2338214
0.011887,0.09175955
0.011887,0.1232066
0.012495,0.1078378
0.012495,0.421645
0.012495,0.04920276
0.013463,0.1352386
0.013463,0.1666092
0.013463,0.1453273
0.014022,0.1061082
0.014022,0.394438
0.014022,0.0346788
0.014939,0.2114196
0.014939,0.1579333
0.014939,0.09198312
0.015611,0.09315966
0.015611,0.4704941
0.015611,0.1037474
0.016651,0.08482157
0.016651,0.2767052
0.016651,0.06164749
0.017327,0.2509193
0.017327,0.04118769
0.017829,0.4360727
0.017829,0.07177702
0.018701,0.2581356
0.018701,0.04554037
0.019217,0.2823519
0.019217,0.05845649
0.019782,0.1325801
0.019782,0.1496083
0.019782,0.152984
0.020306,0.08159488
0.020306,0.3738701
0.020306,0.04912096
0.021156,0.1769483
0.021156,0.1061088
0.021156,0.1613518
0.021685,0.08347299
0.021685,0.3511354
0.021685,0.04743868
0.022496,0.2396532
0.022496,0.0654351
0.022496,0.1133493
0.023074,0.08083784
0.023074,0.2236581
0.023074,0.05330813
0.023647,0.1975847
0.023647,0.07655391
0.023647,0.113644
0.024165,0.171325
0.024165,0.1422098
0.024165,0.09898187
0.024744,0.1878038
0.024744,0.2406662
0.024744,0.04413353
0.02551,0.2053361
0.02551,0.08077694
0.02551,0.1197492
0.026049,0.1381388
0.026049,0.1617762
0.026049,0.04908054
0.026604,0.3164372
0.026604,0.04380432
0.027237,0.3125523
0.027237,0.03923322
0.027862,0.1198815
0.027862,0.1564559
0.027862,0.1055143
0.028377,0.09329066
0.028377,0.09011548
0.028377,0.0755806
0.028377,0.2429024
0.028377,0.06059676
0.029223,0.3997186
0.029223,0.05171639
0.030022,0.2731274
0.030022,0.04063007
0.030568,0.1418366
0.030568,0.1193375
0.030568,0.1667744
0.030568,0.05778342
0.031309,0.2626105
0.031309,0.04819599
0.031834,0.3425942
0.031834,0.04159233
0.032519,0.3111578
0.032519,0.04793436
0.033142,0.2090674
0.033142,0.06749178
0.033142,0.1258349
0.033667,0.05435831
0.033667,0.3241486
0.033667,0.04167402
0.034388,0.3668899
0.034388,0.03748322
0.035122,0.1446848
0.035122,0.0693932
0.035122,0.04316526
0.035122,0.1087373
0.035122,0.01986519
0.035765,0.2185066
0.035765,0.01848656
0.035765,0.03376621
0.035765,0.06240685
0.036282,0.02270915
0.036282,0.3869355
0.036282,0.03004431
0.037084,0.03821463
0.037084,0.02794644
0.037084,0.05451705
0.037084,0.01535179
0.037084,0.2546254
0.037084,0.04124159
0.037786,0.1429146
0.037786,0.02826855
0.037786,0.03681622
0.037786,0.02453545
0.037786,0.06144705
0.037786,0.04711673
0.038318,0.1365295
0.038318,0.01608193
0.038318,0.04898885
0.038318,0.06780465
0.038318,0.04609649
0.038318,0.09840374
0.038881,0.02614031
0.038881,0.3395136
0.038881,0.03794996
0.039594,0.0636838
0.039594,0.2542324
0.039594,0.03736072
0.040198,0.1913553
0.040198,0.08055232
0.040198,0.1701623
0.040711,0.0505905
0.040711,0.269124
0.040711,0.03994147
0.041323,0.1400262
0.041323,0.07599779
0.041323,0.4969349
0.041323,0.02667727
0.042523,0.1071714
0.042523,0.1470104
0.042523,0.05607985
0.042523,0.2005346
0.043086,0.03951091
0.043086,0.2793054
0.043086,0.04559953
0.043701,0.2384523
0.043701,0.04634865
0.043701,0.1646388
0.044249,0.0554369
0.044249,0.3563214
0.044249,0.04269028
0.045033,0.174598
0.045033,0.1209489
0.045033,0.1210077
0.045582,0.07501308
0.045582,0.1505274
0.045582,0.04768084
0.045582,0.1959996
0.046085,0.05894342
0.046085,0.2783893
0.046085,0.04435397
0.046727,0.09370936
0.046727,0.06266262
