frame,value
0,0.2185108
0,0.4390544
0,0.2933659
0.001123,0.6417511
0.001123,0.2173276
0.002407,0.719439
0.002407,0.1810345
0.003846,0.689387
0.003846,0.1471496
0.005224,0.6710371
0.005224,0.1301033
0.006566,0.9964307
0.006566,0.1240188
0.008559,0.5239003
0.008559,0.1306169
0.009607,0.7207628
0.009607,0.1153842
0.011049,0.5106944
0.011049,0.1540423
0.01207,0.4299594
0.01207,0.0954136
0.01293,0.5388591
0.01293,0.1510236
0.014008,0.5313369
0.014008,0.08497109
0.01507,0.5614582
0.01507,0.09644219
0.016193,0.3963631
0.016193,0.1174891
0.016986,0.5627364
0.016986,0.1137634
0.018111,0.5004392
0.018111,0.1159407
0.019112,0.3089465
0.019112,0.1124705
0.01973,0.8513945
0.01973,0.1088191
0.021433,0.1891958
0.021433,0.5239205
0.021433,0.1073228
0.022661,0.8975322
0.022661,0.1256271
0.024456,0.2556532
0.024456,0.1094267
0.024967,0.3832941
0.024967,0.08691955
0.025734,0.3933667
0.025734,0.0888416
0.026521,0.3179752
0.026521,0.09370798
0.027157,0.3780182
0.027157,0.08638911
0.027913,0.6115182
0.027913,0.07893248
0.029136,0.355108
0.029136,0.09843223
0.029846,0.4509473
0.029846,0.07949271
0.030748,0.3424999
0.030748,0.09031356
0.031433,0.4656571
0.031433,0.07845288
0.032364,0.42611
0.032364,0.08274886
0.033216,0.3020936
0.033216,0.09029774
0.033821,0.3867976
0.033821,0.07980492
0.034594,0.3600068
0.034594,0.08328449
0.035314,0.6903702
0.035314,0.07559752
0.036695,0.2791632
0.036695,0.1322107
0.037253,0.5727336
0.037253,0.07515918
0.038399,0.2794695
0.038399,0.1276401
0.038958,0.4867732
0.038958,0.0758221
0.039931,0.4513763
0.039931,0.08298255
0.040834,0.274307
0.040834,0.09382813
0.041383,0.4558186
0.041383,0.07659004
0.042294,0.3619687
0.042294,0.08864929
0.043018,0.5907896
0.043018,0.0758489
0.0442,0.2472211
0.0442,0.1889781
0.0442,0.2648942
0.044979,0.09910651
0.044979,0.5777882
0.044979,0.06275241
0.046218,0.1832953
0.046218,0.216949
0.046218,0.1101564
0.046939,0.3478983
0.046939,0.08866009
0.047635,0.3947851
0.047635,0.08349743
0.048424,0.4384581
0.048424,0.08084017
0.049301,0.5926526
0.049301,0.07640067
0.050486,0.2451509
0.050486,0.1089947
0.050486,0.2826223
0.051141,0.07401169
0.051141,0.5436748
0.051141,0.07540055
0.052296,0.3880043
0.052296,0.07649275
0.053072,0.3956717
0.053072,0.08773319
0.053864,0.5228003
0.053864,0.08426992
0.054909,0.2242085
0.054909,0.1161899
0.054909,0.2619935
0.055538,0.0692298
0.055538,0.1722612
0.055538,0.1472939
0.055538,0.2057217
0.056224,0.08902858
0.056224,0.4429964
0.056224,0.0791517
0.057209,0.3349164
0.057209,0.08534935
0.057879,0.3894436
0.057879,0.07146467
0.058658,0.5139061
0.058658,0.08073197
0.059686,0.2340248
0.059686,0.08801113
0.059686,0.3263824
0.060289,0.06321899
0.060289,0.2474517
0.060289,0.09925003
0.060879,0.3210922
0.060879,0.07456769
0.061521,0.2829737
0.061521,0.08561603
0.062087,0.3409035
0.062087,0.06984206
0.062769,0.2596508
0.062769,0.09908052
0.063288,0.3065316
0.063288,0.07384605
0.063901,0.3885808
0.063901,0.07437179
0.064678,0.2165997
0.064678,0.09555944
0.064678,0.1500867
0.065261,0.123245
0.065261,0.2010632
0.065261,0.08058583
0.06586,0.2142617
0.06586,0.08395234
0.06586,0.1316054
0.066421,0.1512484
0.066421,0.2201516
0.066421,0.069897
0.067097,0.1383003
0.067097,0.1570637
0.067097,0.1970048
0.067644,0.05700415
0.067644,0.1557567
0.067644,0.1226534
0.067644,0.2824848
0.068247,0.07563017
0.068247,0.157185
0.068247,0.104752
0.068247,0.2569202
0.068852,0.05738952
0.068852,0.118341
0.068852,0.1904739
0.068852,0.1576243
0.069507,0.09527151
0.069507,0.1647727
0.069507,0.09238471
0.069507,0.2905187
0.070135,0.05340683
0.070135,0.2027592
0.070135,0.1003416
0.070135,0.331332
0.070777,0.05152987
0.070777,0.2025405
0.070777,0.1008105
0.070777,0.1960195
0.071417,0.06832261
0.071417,0.1650145
0.071417,0.09816533
0.071417,0.2863842
0.072014,0.05454267
0.072014,0.3717996
0.072014,0.08157264
0.072826,0.2172465
0.072826,0.07766627
0.072826,0.3353767
0.073382,0.05270535
0.073382,0.3901405
0.073382,0.07122897
0.074226,0.3251477
0.074226,0.06381709
0.074877,0.1449685
0.074877,0.137751
0.074877,0.1654484
0.075402,0.09349303
0.075402,0.3404734
0.075402,0.06127493
0.076207,0.4241696
0.076207,0.07484651
0.077055,0.1911398
0.077055,0.08511958
0.077055,0.2947698
0.077575,0.05913201
0.077575,0.2243161
0.077575,0.08645232
0.078115,0.3295389
0.078115,0.06064192
0.078774,0.4861615
0.078774,0.08195056
0.079747,0.3040702
0.079747,0.08760742
0.080355,0.4965983
0.080355,0.06461145
0.081348,0.1676169
0.081348,0.1803261
0.081348,0.1115938
0.081983,0.2020411
0.081983,0.09170204
0.081983,0.2889261
0.082534,0.06712568
0.082534,0.2819817
0.082534,0.0883175
0.083194,0.2422725
0.083194,0.07479983
0.083194,0.3350815
0.083792,0.06297118
0.083792,0.3461433
0.083792,0.07153545
0.084567,0.3761321
0.084567,0.06932975
0.085319,0.3018764
0.085319,0.06819275
0.085923,0.3380874
0.085923,0.06377736
0.086599,0.214305
0.086599,0.08167521
0.086599,0.3147629
0.087156,0.05254794
0.087156,0.2797093
0.087156,0.08399952
0.087791,0.3406779
0.087791,0.05695618
0.088472,0.2701465
0.088472,0.101301
0.089013,0.2615879
0.089013,0.06741641
0.089536,0.3966239
0.089536,0.07128718
0.090329,0.3740715
0.090329,0.05632225
0.091077,0.1967127
0.091077,0.1099758
0.091077,0.3182132
0.091647,0.05574481
0.091647,0.2835853
0.091647,0.03876171
0.092294,0.1309995
0.092294,0.09291536
0.092294,0.2429678
0.092294,0.04621767
0.093101,0.1793009
0.093101,0.04650364
0.093101,0.4112405
0.093101,0.03629959
0.094179,0.07051985
0.094179,0.178751
0.094179,0.03948821
0.094179,0.4578087
0.094713,0.03694802
0.094713,0.1112174
0.094713,0.06262744
0.094713,0.1668358
0.094713,0.03875791
0.095376,0.3649235
0.095376,0.04294756
0.096106,0.07416503
0.096106,0.1670001
0.096106,0.03289968
0.096106,0.2405628
0.096614,0.0363666
0.096614,0.09665091
0.096614,0.06451392
0.096614,0.1380222
0.096614,0.04034626
0.09721,0.4696061
0.09721,0.02965991
0.09815,0.08654359
0.09815,0.110005
0.09815,0.04281329
0.09815,0.3179603
0.09815,0.0342072
0.099088,0.08000831
0.099088,0.06590012
0.099088,0.09884071
0.099088,0.04653292
0.099088,0.3639861
0.099611,0.0267782
0.099611,0.06006319
0.099611,0.1904233
0.099611,0.03247803
0.10013,0.1573375
0.10013,0.04126536
0.10013,0.2291912
0.10013,0.03589678
0.100885,0.08468116
0.100885,0.07975426
0.100885,0.05967548
0.100885,0.1384394
0.100885,0.03714418
0.10152,0.375526
0.10152,0.03555802
0.102271,0.05089685
0.102271,0.2515008
0.102271,0.02970796
0.10285,0.1898516
0.10285,0.03910811
0.10285,0.1689546
0.10285,0.03673417
0.103556,0.1641127
0.103556,0.03010827
0.103556,0.3805702
0.103556,0.02784927
0.104552,0.08924955
0.104552,0.08897829
0.104552,0.05991067
0.104552,0.09901942
0.104552,0.05039583
0.105146,0.2494497
0.105146,0.0270363
0.105146,0.08317722
0.105686,0.09734403
0.105686,0.05285037
0.105686,0.1495096
0.105686,0.03801091
0.106232,0.3201167
0.106232,0.02844193
0.106872,0.07039796
0.106872,0.1130582
0.106872,0.04279197
0.106872,0.5621935
0.106872,0.02946424
0.108181,0.04821146
0.108181,0.05787214
0.108181,0.1033109
0.108181,0.04738415
0.108181,0.3753247
0.108181,0.03150941
0.109224,0.1160458
0.109224,0.06417508
0.109224,0.1257847
0.109224,0.05210651
0.109777,0.171882
0.109777,0.03052978
0.109777,0.1411955
0.109777,0.04583675
0.110398,0.1710843
0.110398,0.03280473
0.110398,0.1532651
0.110398,0.04340594
0.111041,0.1711578
0.111041,0.03344371
0.111041,0.2013907
0.111041,0.03558113
0.111761,0.1015555
0.111761,0.04383542
0.111761,0.2760457
0.111761,0.02916267
0.112517,0.08060683
0.112517,0.09130371
0.112517,0.08856877
0.112517,0.06214865
0.112517,0.1756488
0.113089,0.03700371
0.113089,0.2230509
0.113089,0.03689558
0.113593,0.1050227
0.113593,0.05172192
0.113593,0.1905719
0.113593,0.0325461
0.114219,0.1538451
0.114219,0.03924077
0.114219,0.264925
0.114219,0.03291721
0.115024,0.09835298
0.115024,0.05936697
0.115024,0.1627909
0.115024,0.03371401
0.115604,0.1330257
0.115604,0.04020511
0.115604,0.2385571
0.115604,0.0325492
0.116336,0.1146048
0.116336,0.06171594
0.116336,0.1884757
0.116336,0.03888296
0.116988,0.195098
0.116988,0.03491012
0.116988,0.164982
0.116988,0.03867578
0.117691,0.2382285
0.117691,0.02829386
0.117691,0.09553388
